Key	Value
Open	시가
Close	종가
Low	저가
High	고가
MA5	5이평
MA10	10이평
Volume	수량
Last Price	현재가
Increase	증가
Limit Order	지정가주문
Market Order	시장가주문
Stop Limit Order	예약주문
Loop Order	반복주문
Available	사용가능
Margin	마진
Price	가격
Buy	구매
Sell	판매
Stop Price	기준가
First Buy Price	첫번째 구매가
First Buy Volume	첫번째 구매수량
Second Sell Price	두번째 판매가
First Sell Price	첫번째 판매가
First Sell Volume	첫번째 판매수량
Second Buy Price	두번째 구매가
Only One Time	한번만
Not Limit	무제한
Not Use Gain	재투자안함
Use Gain	재투자
Amount	체결금액
Complete Order	완료주문
Current Order	미완료주문
Time	시간
Total	총합
Type	타입
Completed	완료된
Complete	완료
Avg Price	평균가
Remain	남은수량
Operation	명령
Status	상태
Sell Price	판매가격
Buy Price	구매가격
First Volume	첫번째 수량
Remain Sell	남은 판매수량
Cancel	취소
Detail	상세정보
Limit Sell	지정가 판매
Limit Buy	지정가 구매
Market Sell	시장가 판매
Market Buy	시장가 구매
Error	오류
Wait	대기
Current	미완료
Non Activate	비활성화
First Buy Order	첫 구매 주문
First Sell Order	첫 판매 주문
Logout	로그아웃
Asset Information	자산정보
Total Amount	총 수량
Value	값
1Minute	1분
5Minute	5분
15Minute	15분
30Minute	30분
60Minute	60분
1Day	1일
Chart Period	차트주기
Language	언어
